"","variablename","collunitid","age","agetype","ageolder","ageyounger","chronologyid","chronologyname","units","value","context","element","taxonid","symmetry","taxongroup","elementtype","ecologicalgroup","analysisunitid","sampleanalyst","sampleid","depth","thickness","samplename","datasetid","database","datasettype","age_range_old","age_range_young","datasetnotes","siteid","sitename","lat","long","area","sitenotes","description","elev","handle","colldate","location","waterdepth","collunittype","collectiondevice","defaultchronology","collectionunitname","depositionalenvironment","family","genus","species","REGION"
"6490381","Liquidambar","11324",-49,"Calendar years BP",-46,-52,7982,"Neotoma 1","NISP",1,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",104397,"Parshall, Timothy E.","135450",0,2,NA,"15009","North American Pollen Database","pollen",4958,-52,NA,"10026","Jemima Pond",41.829452,-69.98493,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",3,"JEMIMA",1999-12-09,"Center of lake",4.32,NA,"Modified Livingstone corer (7cm)",7982,NA,"Kettle Lake","Altingiaceae","Liquidambar",NA,"North America"
"6489368","Liquidambar","11328",-49,"Calibrated radiocarbon years BP",-46,-52,7987,"Neotoma 1","NISP",4,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",104483,"MacDonald, D.","135608",0,2,NA,"15020","North American Pollen Database","pollen",3354,-52,NA,"10028","Sandy Hill Pond",41.689852,-70.364446,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",16,"SANDY",1999-10-27,"Center of lake",3.02,NA,"Modified Livingstone piston corer (7cm)",7987,NA,"Kettle Lake","Altingiaceae","Liquidambar",NA,"North America"
"5292978","Rhus","11329",-44,"Calibrated radiocarbon years BP",-42,-47,7988,"Neotoma","NISP",1,NA,"pollen",260,NA,"Vascular plants","pollen","TRSH",104518,"Hansen, Barbara C. S.","135643",1,2,NA,"15022","North American Pollen Database","pollen",2548,-47,NA,"10029","Fresh Pond",41.59376,-70.53309,NA,NA,"Surrounding vegetation: Pitch pine-oak forest. The dominant trees include Pinus rigida and Quercus spp, while Pinus strobus, Acer rubrum, Carya, and Fagus grandifolia may be abundant locally. Common to many stands is a dense ericaceous shrub understory comprised primarily of Gaylussacia baccata and Vaccinium.",7,"FRESH",1999-09-24,"Center of lake",5.86,NA,"Modified Livingstone corer (7cm)",7988,NA,"Kettle Lake","Anacardiaceae","Rhus",NA,"North America"
"1733430","Amaranthaceae","11334",-54,"Calibrated radiocarbon years BP",78,-188,25175,"PalEON-STEPPS","NISP",1,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",104586,"Booth, Robert K.","135725",0,1,NA,"15032","North American Pollen Database","pollen",10203,-188,NA,"10034","Mud Lake (Ho)",47.12818,-88.319204,NA,"NHD Reach Code: 4020103001203",NA,189,"MUDLKMI",1999-07-01,"Deepest part of the lake",3,NA,"Square-rod piston corer (7.6cm)",25175,NA,"Glacial Scour Lake","Amaranthaceae",NA,NA,"North America"
"1752887","Amaranthaceae","11336",997,"Calibrated radiocarbon years BP",1504,506,25118,"PalEON-STEPPS","NISP",2,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",104652,"Flakne, Robyn A.","135789",150,1,NA,"15035","North American Pollen Database","pollen",11166,506,NA,"10036","Lily Lake",47.911714,-89.09134,NA,NA,"Kettle lakel. Surrounding vegetation: Forest dominated by Betula alleghaniensis, with Acer saccharum, Pinus strobus, Thuja occidentalis, and occasional Quercus rubra.",301,"LILYMI",1992-01-01,"Center of lake",NA,NA,"Modified Livingstone corer (5cm)",25118,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"5695028","Lemna","11357",42,"Calibrated radiocarbon years BP",75,25,8018,"Neotoma 1","NISP",1,NA,"pollen",515,NA,"Vascular plants","pollen","AQVP",104956,"Daniels, Mark L.","136196",0.5,1,NA,"15074","North American Pollen Database","pollen",14620,25,NA,"10053","Mumbo Lake",41.190804,-122.51087,NA,NA,"Lake is in a small cirque basin in the Trinity Mountains. Principal trees at Mumbo Lake include Pinus contorta, Abies concolor, A. magnifica, Pinus monticola, and Tsuga mertensiana. Forest canopy around the lake is closed, although montane chaparral (Quercus vaccinifolia, Arctostaphylos, and rosaceous taxa) and bare rock cover much of the surrounding slopes.",1860,"MUMBO",NA,NA,NA,NA,"Modified Livingstone corer (5cm)",8018,NA,"Kettle Lake","Araceae","Lemna",NA,"North America"
"4832385","Ericales","11371",-29,"Calibrated radiocarbon years BP",NA,NA,8037,"Neotoma 1","NISP",10,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",105465,"Mode, William N.","136827",0,1,NA,"15106","North American Pollen Database","pollen",13125,-29,"The top sample (0 cm) was collected from a 'nearby locality.'","10061","Lake Emma",37.901858,-107.6156,NA,NA,"Glacial tarn in a south-facing cirque at the head of Eureka Gulch near the headwaters of the Animas River. On 4 June 1978, it was suddenly and completely drained by the collapse of underground mine workings. Site is above timberline in alpine tundra.",3740,"EMMASEC1",1979-09-01,NA,NA,NA,NA,8037,NA,"Cirque Lake",NA,NA,NA,"North America"
"1807773","Amaranthaceae","11387",-50,"Calibrated radiocarbon years BP",-48,-53,8057,"Neotoma 1","NISP",24,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",105926,"Teed, Rebecca E.","137366",338,1,NA,"15138","North American Pollen Database","pollen",11757,-53,"Sample depths are reported from the surface of the lake","10074","Jones Lake",49.448704,-99.290832,NA,NA,"Lake is located on stagnation moraine at the southern margin of the aspen parkland near the border with the tall-grass prairie.",409,"JONES",2002-08-01,"Deepest part of the lake",4.4,NA,"modified Livingstone corer",8057,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"1835355","Amaranthaceae","11388",-48,"Calibrated radiocarbon years BP",-41,-53,8059,"Neotoma 1","NISP",10,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106077,"Teed, Rebecca E.","137510",880,1,NA,"15140","North American Pollen Database","pollen",8669,-53,"Sample depths are reported from the surface of the lake","10075","Mallard Pond",51.28754,-101.32549,NA,"Called Mallard Lake on Google Earth.","Located on stagnation moraine near the edge of the boreal forest.",568,"MALLARD",2003-08-01,"deepest part of the lake",10.2,NA,"Wright square-rod piston corer",8059,NA,"Kettle Lake","Amaranthaceae",NA,NA,"North America"
"4816090","Ambrosia","11391",-16,"Calibrated radiocarbon years BP",41,-44,8062,"Neotoma 1","NISP",7,NA,"pollen",345,NA,"Vascular plants","pollen","UPHE",106207,"Newby, Paige E.","137628",1,NA,NA,"15146","North American Pollen Database","pollen",5401,-44,NA,"10076","Makepeace Cedar Swamp",41.933788,-70.761514,NA,NA,"Closed basin mire located in sandy outwash along the margin of the Monk's Hill recessional moraine. Surrounding vegetation: Quercus, Pinus strobus, Betula, Acer rubrum, Tsuga canadensis, and Fagus grandifolia. Grass with cedar immediately at site.",40,"MKPEACEB",1993-08-15,"Closest to shore at beginning of transect",NA,NA,"Livingstone Piston Corer (2.5cm)",8062,NA,"Swamp","Asteraceae","Ambrosia",NA,"North America"
"1793459","Amaranthaceae","11393",9092,"Calibrated radiocarbon years BP",9763,8634,8065,"Neotoma 1","NISP",14,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106239,"Yansa, Catherine H.","137780",395,1,NA,"15153","North American Pollen Database","pollen",13664,8634,NA,"10080","Wendel site",46.433022,-98.289842,NA,NA,"Ephemeral lake situated in the Twin Lakes channel at the northern end of a partly drained lake bed within a palimpsest meltwater channel situated on the Glaciated Till Plain. Natural vegetation: mixed grass prairie. Heavily agricultural today.",423,"WENDEL3",2006-01-01,NA,NA,NA,"split-spoon core barrel attached to a CME™ hollow-stem drill rig.",8064,NA,"Glacial Meltwater Channel Lake","Amaranthaceae",NA,NA,"North America"
"1718361","Amaranthaceae","11395",NA,NA,NA,NA,NA,NA,"NISP",12,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106348,"Webb, Thompson III","137823",7.5,NA,NA,"15155","North American Pollen Database","pollen",NA,NA,"There are no dates associated with this core.","10082","Trout Lake",46.02686,-89.682228,NA,NA,"Lake in sandy outwash deposits. Surrounding vegetation: Pinus strobus/P. resinosa dominant forests that include Acer rubrum, Quercus borealis, Betula papyrifera, Acer saccharum, and Tsuga canadensis. There were also some abundant stands of Abies balsamea in the area.",492,"TROUTWI",1966-01-01,"South basin of lake",NA,NA,"Piston corer (10cm)",NA,NA,"Glacial Origin Lake","Amaranthaceae",NA,NA,"North America"
"4832222","Ericales","11396",-24,"Calibrated radiocarbon years BP",1,-46,33410,"Wang et al. 2019","NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",106355,"Higuera, Philip E.","137837",0.5,NA,NA,"15157","North American Pollen Database","pollen",7624,-46,NA,"10083","Code Lake",67.157798,-151.860246,NA,NA,"Physiography: Foothills of the southcentral Brooks Range, within the Kobuk Ridges and Valleys Ecoregion. Underlain by alluvial and glacial sediments. Surrounding Vegetation: Picea mariana, Picea glauca, Populus balsamifera, Populus tremuloides, Betula papyrifera, Salix glandulosa, Alnus.",250,"CODE",2001-08-01,"Deepest part of the lake",7,NA,"Modified Livingston piston corer",33410,NA,"Glacial Origin Lake",NA,NA,NA,"North America"
"557913","Artemisia","11404",-43,"Calendar years BP",19,-120,25129,"PalEON-STEPPS","NISP",3,NA,"pollen",25,NA,"Vascular plants","pollen","UPHE",106442,"Almendinger, John C.","137918",0,NA,NA,"15167","North American Pollen Database","pollen",619,-120,"Data contributed by E.J. Cushing","10091","Elk Lake",47.187678,-95.219544,NA,"NHD Reach Code: 7010101002673",NA,448,"MNCLEB",1978-01-01,NA,23.8,NA,"freeze core",25129,NA,"Kettle Lake","Asteraceae","Artemisia",NA,"North America"
"4832361","Ericales","11409",294,"Calibrated radiocarbon years BP",484,97,8080,"Neotoma 1","NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",106488,"Higuera, Philip E.","137968",15,1,NA,"15175","North American Pollen Database","pollen",2233,97,NA,"10094","Last Chance Lake",67.114188,-150.760644,NA,NA,"Physiography: Foothills of the southcentral Brooks Range, within the Kobuk Ridges and Valleys Ecoregion. Underlain by alluvial and glacial sediments. Surrounding Vegetation: Picea mariana, Picea glauca, Populus balsamifera, Populus tremuloides, Betula papyrifera, Salix glandulosa, Alnus.",250,"LASTCHAN",NA,NA,8.5,NA,"Modified Livingston piston corer",8080,NA,"Kettle Lake",NA,NA,NA,"North America"
"4834196","Ericales","11415",152,"Calibrated radiocarbon years BP",366,-30,33438,"Wang et al. 2019","NISP",9,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",106532,"Brubaker, Linda Beck","138031",5.54688,NA,NA,"15185","North American Pollen Database","pollen",15289,-30,NA,"10100","Ruppert Lake",67.070494,-154.245382,NA,NA,"Kettle lake on a terminal moraine. Physiography: Foothills of the south central Brooks Range, within the Kobuk Ridges and Valleys Ecoregion. Underlain by alluvial and glacial sediments. Surrounding Vegetation: Picea mariana, Picea glauca, Populus balsamifera, Populus tremuloides, Betula papyrifera, Salix glandulosa, Alnus.",230,"RUPPERT1",2002-06-01,"Deepest part of the lake",7,NA,"Modified Livingston piston corer",33438,NA,"Kettle Lake",NA,NA,NA,"North America"
"4832848","Ericales","11416",575,"Calibrated radiocarbon years BP",1172,108,33439,"Wang et al. 2019","NISP",5,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",106670,"Higuera, Philip E.","138158",10,NA,NA,"15187","North American Pollen Database","pollen",8043,108,NA,"10101","Wild Tussock Lake",67.126122,-151.384954,NA,NA,"Physiography: Foothills of the south central Brooks Range, within the Kobuk Ridges and Valleys Ecoregion. Underlain by alluvial and glacial sediments. Surrounding Vegetation: Picea mariana, Picea glauca, Populus balsamifera, Populus tremuloides, Betula papyrifera, Salix glandulosa, Alnus.",290,"TUSSOCK",2003-06-01,"Deepest part of the lake",11.6,NA,"Modified Livingston piston corer",33439,NA,"Kettle Lake",NA,NA,NA,"North America"
"4835791","Ericales","11417",-53,"Calibrated radiocarbon years BP",-50,-56,8088,"Neotoma 1","NISP",1,NA,"pollen",848,NA,"Vascular plants","pollen","TRSH",106703,"Anderson, Patricia M.","138195",0,NA,NA,"15189","North American Pollen Database","pollen",25537,-56,NA,"10102","Xindi Lake",67.110754,-152.492202,NA,NA,"Physiography: Foothills of the south central Brooks Range, within the Kobuk Ridges and Valleys Ecoregion. Underlain by alluvial and glacial sediments. Surrounding Vegetation: Picea mariana, Picea glauca, Populus balsamifera, Populus tremuloides, Betula papyrifera, Salix glandulosa, Alnus.",240,"XINDI",2003-08-01,"Center of the lake",10.6,NA,"Modified Livingston corer",8088,NA,"Kettle Lake",NA,NA,NA,"North America"
"5667915","Sagittaria","11418",-50,"Calibrated radiocarbon years BP",-47,-53,8089,"Neotoma 1","NISP",1,NA,"pollen",270,NA,"Vascular plants","pollen","AQVP",106777,"Goman, Michelle","138264",0,1,NA,"15191","North American Pollen Database","pollen",13362,-53,NA,"10103","Fort Bragg (core PAW2)",35.173078,-79.09062,NA,NA,"Peat-filled paleochannel of the Little River. Located in the Salinas Point Terraces Natural Area of the Fort Bragg Military Reservation. Surrounding vegetation: Chamaecyparis thyoides, Nyssa biflora, Acer rubrum. The shrub layer is dense with Lyonia lucida, Clethra alnifolia, Ilex coriaceae, and Smilax laurifolia. The groundcover is dominated by Sphagnum peat mosses.",54,"PAW2",2000-12-01,"Thalweg of the paleochannel",NA,NA,"Russian peat corer (5cm)",8089,NA,"Palustrine","Alismataceae","Sagittaria",NA,"North America"
"1759998","Amaranthaceae","11422",1085,"Calibrated radiocarbon years BP",2557,194,8093,"Neotoma 1","NISP",15,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106847,"Rynders, Theodore S.","138331",10,NA,NA,"15199","North American Pollen Database","pollen",19680,194,NA,"10106","South Dansville Buried Peat",42.49054,-77.6429,NA,NA,"Wet area in an open field on steep hill. Physiography: Steep hill, drainage into Genesse system. Local vegetation: peat.",572,"DANSVILL",1971-01-01,NA,NA,NA,"Trowel and meter stick",8093,NA,"Bog","Amaranthaceae",NA,NA,"North America"
"1763426","Amaranthaceae","11423",-41,"Calibrated radiocarbon years BP",-38,-44,8094,"Neotoma 1","NISP",11,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106865,"Vierling, Lee A.","138352",0,NA,NA,"15201","North American Pollen Database","pollen",13935,-44,NA,"10107","Lost Park",39.29302,-105.54218,NA,NA,"Lost Park wet meadow occurs along the South Fork of Lost Creek, immediately northeast of the Tarryall Mountains. Surrounding vegetation: The forest vegetation of the area contains Juniperus communis as an understory shrub. Picea pungens and Pinus contorta grow on a knoll that extends into the valley near the coring site. Pinus contorta, Pinus aristata, and Picea engelmannii all occur on the forested valley slopes flanking Lost Park. Populus tremulouides commonly occurs in dry disturbed areas. The wet meadow vegetation consists of many herbaceous plant taxa such as Clementsia rhodantha, Potentilla, Gentiana calycosa, and members of the Poaceae, Cyperaceae, and Caryophyllaceae families. Occasional Salix shrubs also dot the wet meadow. In dry nonforested areas along the valley floor adjacent to the wet meadow, abundant taxa include Fragaria virginiana, Taraxacum officinale, Aster, Penstemon, Achillea lanulosa, A. frigida, Pentaphylloides floribunda, and members of the Chenopodiaceae and Poaceae families.",3079,"LOSTPARK",1991-08-01,"South of creek",NA,NA,"Livingstone corer (5cm)",8094,NA,"Fen","Amaranthaceae",NA,NA,"North America"
"1790492","Amaranthaceae","11424",-29,"Calibrated radiocarbon years BP",39,-109,8095,"Neotoma 1","NISP",6,NA,"pollen",391,NA,"Vascular plants","pollen","UPHE",106919,"Cowell, D.","138405",0,NA,NA,"15203","North American Pollen Database","pollen",12791,-109,NA,"10108","Crawford Bog",43.465502,-79.949948,NA,"Bog area from Topographic Dataset of Canada (CanVec).  Added on 6/30/21 by Grace Roper, UW-Madison.  Lake-area scripts available at https://github.com/NeotomaDB/neotoma_lakes
",NA,268,"CRAWFBOG",NA,NA,NA,NA,NA,8095,NA,"Bog","Amaranthaceae",NA,NA,"North America"
"6489572","Liquidambar","11425",919,"Calibrated radiocarbon years BP",1176,744,8096,"Neotoma 1","NISP",6,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",107032,"Korejwo, David A.","138532",229,NA,NA,"15205","North American Pollen Database","pollen",28523,744,NA,"10109","Chesapeake Bay (MD99-2207)",38.03028,-76.21444,NA,NA,"Mainstem of the Chesapeake Bay. Physiography: Atlantic Coastal Plain.",0,"CHES2207",1999-06-21,"Near mouth of the Potomac",25,NA,"Calypso piston corer",8096,NA,"Marine","Altingiaceae","Liquidambar",NA,"North America"
"6487360","Liquidambar","11426",-37,"Calibrated radiocarbon years BP",-21,-49,8097,"Neotoma 1","NISP",3,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",107279,"Korejwo, David A.","138772",1,NA,NA,"15207","North American Pollen Database","pollen",8723,-49,NA,"10110","Chesapeake Bay (MD99-2208)",38.53722,-76.48639,NA,NA,"Mainstem of the Chesapeake Bay. Physiography: Atlantic Coastal Plain.",0,"CHES2208",1999-06-22,"Near the mouth of Parker Creek",10,NA,"Calypso piston corer",8097,NA,"Marine","Altingiaceae","Liquidambar",NA,"North America"
"6490142","Liquidambar","11427",602,"Calibrated radiocarbon years BP",684,518,8098,"Neotoma 1","NISP",2,NA,"pollen",162,NA,"Vascular plants","pollen","TRSH",107342,"Korejwo, David A.","138849",307,NA,NA,"15209","North American Pollen Database","pollen",8135,518,NA,"10111","Chesapeake Bay (MD99-2209)",38.88611,-76.39444,NA,NA,"Mainstem of the Chesapeake Bay. Physiography: Atlantic Coastal Plain.",0,"CHES2209",1999-06-22,"Near the mouth of the Rhode River",26,NA,"Calypso piston corer",8098,NA,"Marine","Altingiaceae","Liquidambar",NA,"North America"
"5663897","Sagittaria","11428",-26,"Calibrated radiocarbon years BP",17,-47,8099,"Neotoma 1","NISP",2,NA,"pollen",270,NA,"Vascular plants","pollen","AQVP",107509,"Willard, Debra A.","139005",4,NA,NA,"15211","North American Pollen Database","pollen",3395,-47,NA,"10112","Chesapeake Bay (PTMC3-2)",38.02667,-76.21972,NA,NA,"Mainstem of the Chesapeake Bay. Physiography: Atlantic Coastal Plain.",0,"CHESPTMC",1996-09-26,"Near the mouth of the Potomac",23.1,NA,"Piston corer",8099,NA,"Marine","Alismataceae","Sagittaria",NA,"North America"
"1991955","Asteraceae undiff.","11430",-30,"Calibrated radiocarbon years BP",-7,-43,8100,"Neotoma 1","NISP",7,NA,"pollen",61,NA,"Vascular plants","pollen","UPHE",107637,"Szeicz, Julian M.","139116",1,1,NA,"15214","North American Pollen Database","pollen",18240,-43,NA,"10114","Big Lake",51.667136,-121.45797,NA,NA,"Big Lake is situated in a topographically closed basin on the Cariboo Plateau. Surrounding vegetation: Pseudotsuga menziesii, Pinus contorta, and scattered grasslands.",1029,"BIGLAKE",1993-03-01,"Deepest part of the lake",7.5,NA,"Livingstone pisoton corer (2.5 cm) and K-B gravity corer for the uppermost 52 cm of sediment",8100,NA,"Glacial Origin Lake","Asteraceae",NA,NA,"North America"
"364582","Cichorioideae","11431",-29,"Calibrated radiocarbon years BP",-26,-32,8101,"Neotoma 1","NISP",6,NA,"pollen",160,NA,"Vascular plants","pollen","UPHE",107681,"Nelson, Robert E.","139149",0,1,NA,"15216","North American Pollen Database","pollen",57662,-32,NA,"10115","Titaluk River Exposure 1",69.71098,-155.21153,NA,"Insect samples were collected from different parts of the bluff. The ages associated with a particular sample are based on the closest radiocarbon date.  Ages range from mid-Wisconsinan to late Holocene. The modern fauna is listed in Sample 16A. In addition to pollen, macroscopic plant remains are also known from the section.","A sequence of Pleistocene alluvium and Holocene thaw-lake sediments exposed in a natural riverbluff exposure on the eastern bank of the Titaluk River at the inner margin of the Arctic Coastal Plain.",80,"TITALUK1",1979-01-01,NA,NA,NA,NA,8101,NA,"Stream-cut Exposure","Asteraceae",NA,NA,"North America"
